id,loan_amnt,term,installment,grade,emp_length,home_ownership,annual_inc,verification_status,loan_status,dti,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,active_credit,emp_title,purpose,zip_code,addr_state
13,240000,240,3600,1,4,0,790000,0,1,10,7.95,0,15048.35,29.92,24.88,1,310,Financial Advisor,home_improvement,705xx,LA
14,120000,240,2000,2,2,0,463000,0,0,20,9.95,0.01,6045.83,55.89,32,0,386,IGT,debt_consolidation,891xx,NV
15,350000,240,6000,3,10,0,361000,1,0,30,10.84,0.01,39785.65,73.04,18,1,2,Lead Technition,debt_consolidation,857xx,AZ
16,160000,300,2100,5,6,1,289000,1,0,10,6,1,14992.83,53.4,19.12,1,8,Mechanic,debt_consolidation,921xx,CA
17,250000,240,4100,2,10,0,637000,1,1,10,11.89,0.01,15065.48,85.9,21,0,7,Business Development Manager,debt_consolidation,787xx,TX
18,50000,300,600,2,3,1,210000,1,0,10,7,-0.01,3210.17,45.1,11.12,0,2,Mueller Funeral Home,other,613xx,IL
19,100000,240,1500,1,10,0,289000,1,1,20,16.11,-0.01,15990.83,21.18,37.12,1,397,Bank Of the West,debt_consolidation,945xx,CA
20,150000,240,2500,2,3,0,422000,1,1,20,16.89,-0.01,37144,95.44,34.12,0,-1,Netcom,debt_consolidation,303xx,GA
21,50000,240,800,3,10,2,355000,1,0,20,17.95,0.01,8171,25.12,33.88,1,1,manager,major_purchase,712xx,LA
22,350000,300,4500,5,2,0,597000,1,0,10,13.05,-0.01,26324.52,43.36,33,1,1,Lead Technical Recruiter,debt_consolidation,272xx,NC
23,130000,240,2300,2,2,1,220000,0,1,20,6.11,0.01,20686.17,84.99,21.88,0,329,Forrest B Johnson & Assocs,debt_consolidation,300xx,GA
24,100000,300,1400,6,10,0,325000,1,0,30,9,0.01,61043.65,69.3,23.24,0,-5,Senior Cust Care Coordinator ,small_business,610xx,IL
25,180000,300,2500,5,10,0,515000,1,0,20,15,-0.01,35750.35,85.74,31.35,0,366,Newman Outdoor Advertising,debt_consolidation,880xx,NM
26,160000,300,1900,3,10,0,526000,1,1,20,11.16,0.01,60231.35,82.06,30.88,1,371,Big Bolt Corp.,debt_consolidation,601xx,IL
27,220000,300,3000,5,8,0,401000,1,0,20,7,0.01,37914.83,96.58,18.24,0,-2,The Whiting-Turner Contracting Company,credit_card,300xx,GA
28,200000,240,3200,2,9,0,735000,1,0,10,15.05,-0.01,24603,49.58,61.12,0,299,"Forfeiture Support Associates, LLC",debt_consolidation,322xx,FL
29,60000,240,1000,2,4,0,222000,1,0,20,13.11,1,3405.35,36.91,31.24,1,315,PBA,debt_consolidation,765xx,TX
30,150000,300,1900,4,9,1,294000,1,0,30,8,0,13989.17,82.08,13.12,1,-6,Training Manager,debt_consolidation,720xx,AR
31,160000,300,1800,2,10,0,249000,0,0,30,11.89,0.01,19483.35,35.26,18.35,1,542,Teacher,credit_card,195xx,PA
32,140000,300,2000,5,3,0,378000,1,0,20,11.11,0.01,2995.83,26.46,16.65,0,327,District Sales Manager,home_improvement,751xx,TX
33,20000,240,300,1,4,1,71000,1,1,10,5.95,-0.01,2439.35,16.94,6.24,0,318,office depot-,major_purchase,902xx,CA
34,40000,240,700,3,10,1,172000,1,0,30,16.16,0,18399.65,87.28,19.12,1,8,HUA,credit_card,559xx,MN
35,120000,300,1300,2,10,0,594000,0,1,10,6.95,0.01,22408,84.9,33.65,1,359,Police Officer,credit_card,751xx,TX
36,110000,240,2100,4,10,1,285000,1,0,10,5.95,0.01,7131.65,62.81,5.65,1,-6,Loss Prevention Supervisor,home_improvement,917xx,CA
37,180000,300,2200,3,10,0,657000,1,0,10,12,0,16231,79.36,43.76,0,312,Federal Bureau of Investigation,credit_card,265xx,WV
38,160000,300,1900,3,10,0,335000,1,1,10,10.16,1.01,2390.83,13.84,34,1,367,Investigator,credit_card,435xx,OH
39,140000,240,2400,3,6,1,200000,0,0,10,6.95,0.01,15505,49.21,8,0,-5,honey creek disposal,debt_consolidation,660xx,KS
40,160000,240,2600,2,10,0,600000,1,1,30,14.05,0.01,113362.17,91,28.24,1,345,Data analyst,credit_card,875xx,NM
41,210000,240,3400,1,6,0,365000,1,1,10,10.05,0,19996.65,42.66,31,0,298,Project Manager,debt_consolidation,553xx,MN
42,350000,240,6000,3,3,0,505000,1,1,10,6.05,0,15788.17,68.51,20.88,1,492,US Operations Manager,debt_consolidation,019xx,MA
43,160000,300,1900,3,10,0,216000,1,1,10,5.89,0.01,5842,46.52,13.35,1,376,Correctional Officer,home_improvement,287xx,NC
44,210000,240,3600,3,5,0,322000,1,0,20,15.11,-0.01,19590,78.22,27,0,300,Regional Manager,debt_consolidation,573xx,SD
45,70000,240,1100,1,2,0,216000,0,1,10,6,0.01,7263.83,73.16,11.88,0,8,Logistics Associate I,credit_card,302xx,GA
46,160000,300,2200,5,10,1,181000,1,0,20,7.89,-0.01,5660,55.48,14.12,0,340,Assembler,debt_consolidation,554xx,MN
47,100000,240,1700,4,10,1,256000,1,0,20,12.84,3,5299.83,25.7,42,0,297,Senior Input Control Specialist,debt_consolidation,117xx,NY
48,70000,240,1300,4,2,1,1053000,1,0,0,6,0,17976.83,94.74,21.76,0,322,General Electric,major_purchase,100xx,NY
49,50000,240,800,1,4,2,522000,1,1,10,8.05,0.01,4131.65,29.84,12.76,0,-1,"DataMax Services, Inc.",moving,062xx,CT
50,100000,240,1900,4,10,0,312000,1,0,20,8.11,-0.01,6118.52,68.31,34.88,0,320,Assembely Technician,other,296xx,SC
51,120000,300,1600,5,2,1,179000,1,0,30,9,-0.01,9944.35,61.71,30.24,0,-4,Web Application Test Analyst,credit_card,328xx,FL
52,80000,240,1500,3,10,0,310000,1,0,30,12,-0.01,18961.35,92.78,23,1,296,PGW Pittsburgh Glassworks,credit_card,159xx,PA
53,140000,240,2200,2,8,0,493000,0,1,30,24.84,0,48783.17,74.12,45.35,1,411,Administrator,debt_consolidation,175xx,PA
54,260000,300,3300,5,10,0,283000,1,0,20,7,0.01,35179.65,79.7,16.76,0,270,Senior Intel Sergeant,debt_consolidation,985xx,WA
55,350000,300,3800,2,3,0,497000,1,0,20,12,0,20094,32.22,27,1,304,Academy Director,home_improvement,117xx,NY
56,220000,240,3500,2,10,2,223000,1,1,20,4,0,12327.65,94.49,13,0,360,Culinary supervisor ,debt_consolidation,457xx,OH
57,110000,240,1800,2,7,1,284000,0,0,0,6,0.01,-9.83,2.08,6.35,0,5,Cognizant Technology Solutions,debt_consolidation,335xx,FL
58,100000,240,1700,2,10,1,828000,1,0,20,12.95,0,26602.17,46.46,44.24,0,394,"Cokinos, Bosien & Young",credit_card,770xx,TX
59,140000,240,2400,2,3,0,481000,0,1,10,8.84,0.01,13573.17,61.39,26.35,0,345,EPI USE Labs,credit_card,300xx,GA
60,180000,300,2200,3,1,1,350000,1,0,20,10.11,-0.01,16070.65,75.66,28.24,1,-5,Weber Shandwick,debt_consolidation,554xx,MN
61,100000,240,1600,2,10,0,275000,1,1,10,8.84,1,9661.65,57.24,32,1,-3,BUYER,credit_card,852xx,AZ
62,150000,300,1800,3,1,0,211000,1,0,30,11.05,-0.01,12283.52,81.04,18.76,1,0,Union painter,debt_consolidation,260xx,WV
63,80000,240,1300,1,1,1,278000,0,1,20,13.11,0,7491.52,43.92,16.76,1,-3,Internal Sales Consultant,credit_card,770xx,TX
64,100000,240,1700,4,3,1,524000,1,0,10,16.05,4,5483.83,32.26,19.24,1,301,Auditor,debt_consolidation,850xx,AZ
65,30000,240,600,5,4,2,290000,0,0,20,11.84,0,4756,74.06,15.12,1,0,Department of Defense,debt_consolidation,207xx,MD
66,250000,300,2900,3,10,0,300000,1,0,40,19.05,0.01,15765,37.76,32.65,1,329,Registered nurse,debt_consolidation,493xx,MI
67,100000,240,1700,3,5,0,506000,0,0,10,8,0,427.65,0.24,29.88,0,309,Flexi Software,other,066xx,CT
68,100000,240,1600,2,10,2,288000,1,0,10,11.05,-0.01,6495.35,52.64,25.35,0,367,Lead Transportation Security Officer,debt_consolidation,334xx,FL
69,30000,240,600,2,3,1,239000,1,0,20,6.05,-0.01,2390.52,38.38,27,1,0,QA QC Supervisor,credit_card,900xx,CA
70,190000,300,2600,5,10,0,425000,1,0,20,7.95,0.01,32942.83,93.52,30.76,0,350,US Air Force,debt_consolidation,309xx,GA
71,30000,300,400,4,4,1,254000,1,0,0,5.84,0.01,876.35,48.54,10.76,0,318,Bandera ISD,major_purchase,780xx,TX
72,100000,240,1600,2,2,1,255000,1,0,20,9.05,1,5844.83,26.9,34.12,1,2,Executive Assistant,debt_consolidation,391xx,MS
73,170000,300,2100,4,1,2,282000,1,0,30,10.84,0,14326.83,76.54,18.24,1,-2,Engineering Design ,debt_consolidation,880xx,NM
74,150000,300,1700,3,7,0,285000,0,0,10,9.05,0,11629.65,52.8,31.76,1,2,driver,debt_consolidation,751xx,TX
75,200000,300,2400,4,6,0,378000,1,0,20,8.89,0.01,12813.65,56.24,24.24,0,510,Cis specialist,debt_consolidation,212xx,MD
76,60000,240,1000,2,1,0,300000,1,1,10,10.16,0.01,9653.48,69.54,30.12,0,0,Network Engineer,credit_card,933xx,CA
77,220000,300,2800,4,10,1,285000,1,0,20,8.89,0,20784,59.4,27.76,0,323,Franklin Township BOE,debt_consolidation,088xx,NJ
78,220000,240,3500,1,4,1,325000,1,1,30,14.89,0,23297.83,54.38,47.88,1,3,Asst. Project Manager,credit_card,770xx,TX
79,200000,240,3300,2,1,1,372000,1,0,10,15.89,0,28995.65,48.88,23.88,1,461,Corporate Chef,credit_card,112xx,NY
80,190000,300,2500,5,5,0,357000,1,0,30,15.05,0.01,19985.83,73.02,44.12,1,368,Financial Analyst,credit_card,775xx,TX
81,160000,300,2400,6,3,0,556000,1,0,10,30.11,3,14227,60.39,44.65,0,-4,quality assurance,debt_consolidation,210xx,MD
82,200000,300,2100,2,7,0,856000,0,1,20,12.11,-0.01,35458,58.21,42,1,0,Executive Director,debt_consolidation,844xx,UT
83,140000,240,2100,1,10,0,232000,1,1,10,8.05,0.01,13159.17,35.4,20.12,0,366,Trans-Tek Inc.,debt_consolidation,060xx,CT
84,170000,300,2200,5,10,0,233000,1,0,30,11.16,1,5274.65,81.04,17.12,0,294,Senior Customer Account Rep,other,381xx,TN
85,160000,240,2600,2,7,1,437000,0,1,10,9.95,-0.01,18520.48,56.19,18.76,1,282,Service consultant,credit_card,921xx,CA
86,130000,300,1600,4,4,1,273000,0,0,10,13.89,0.01,3535.35,19.64,43.24,1,290,Paralegal,debt_consolidation,117xx,NY
87,70000,240,1100,1,3,1,184000,1,1,20,6.05,0,5112.83,78.04,19.24,0,-8,PCA,debt_consolidation,566xx,MN
88,80000,240,1200,1,2,1,341000,0,1,10,9.95,2,584.35,3.08,16.24,1,0,purchase coordinator,credit_card,226xx,VA
89,50000,240,800,3,10,2,453000,1,1,20,12.11,0.01,24400.48,70.06,24,1,446,Teacher,home_improvement,481xx,MI
90,50000,240,800,2,4,0,577000,0,0,20,9.95,0.01,13827.35,46.76,25.12,0,-530,Professor,vacation,662xx,KS
91,190000,240,3400,3,10,1,510000,1,1,10,13,0.01,20810.17,73.48,17.76,1,382,Prosecutor,debt_consolidation,189xx,PA
92,10000,240,200,1,2,1,384000,0,1,0,7.95,-0.01,4112.35,16.12,12.65,0,-5,Cook Children's Health Care System,credit_card,761xx,TX
93,30000,240,500,1,1,0,284000,0,1,20,12.05,0.01,14362,49.9,20.88,1,2,Visual/Audio Tech,debt_consolidation,330xx,FL
94,140000,300,1900,5,10,0,247000,1,0,10,10,0.01,6915.17,36.99,29.76,0,287,Blender,other,923xx,CA
95,110000,240,1700,1,5,0,406000,1,1,20,10.11,0.01,8535.48,19.16,28,0,-1,Revenue Agent,debt_consolidation,670xx,KS
96,280000,300,3200,3,10,0,652000,1,0,30,10.89,0.01,268773.52,98.29,20.24,1,2,Assistant Service Manager,debt_consolidation,913xx,CA
97,120000,240,1900,2,7,1,264000,1,1,20,8,0,17497.83,70.92,13.88,0,-1,Technician,credit_card,744xx,OK
98,200000,240,3600,5,3,1,244000,1,0,30,22.89,0.01,10910.35,43,31,0,9,Social Worker / Information & Assistance,debt_consolidation,982xx,WA
99,120000,300,1500,4,8,0,406000,0,0,30,14,0.01,18258,68.81,32.12,0,331,teacher,debt_consolidation,398xx,GA
100,200000,240,3600,4,2,1,570000,1,0,10,8.89,0.01,22997.65,76.8,14.12,0,2,uc davis health system,debt_consolidation,956xx,CA
101,100000,240,1800,3,10,1,389000,1,0,10,6.95,0,7836.52,64.49,20.12,0,273,NYCDOE,vacation,104xx,NY
102,260000,300,3300,5,10,2,332000,1,0,30,11.89,0,26391.83,71.22,26.88,1,435,Administrative Assistant,debt_consolidation,950xx,CA
103,240000,300,2800,3,10,0,568000,1,0,20,18,-0.01,23216.35,52.74,28,0,294,Consultant II Engineering/Planning,debt_consolidation,762xx,TX
104,350000,240,5600,2,7,0,607000,1,0,20,18.89,0.01,9671.65,10.61,33.24,0,307,Attorney,debt_consolidation,946xx,CA
105,30000,240,600,3,3,1,154000,0,1,30,17.11,0.01,4875.35,30.98,22.12,1,459,Administrative Assistant ,debt_consolidation,450xx,OH
106,200000,240,3100,1,10,0,394000,1,1,20,12.84,0.01,9197.83,12.34,34.76,0,-5,UPS,credit_card,403xx,KY
107,90000,240,1400,2,7,1,128000,1,0,30,7.95,0,5379.52,55.59,14,0,299,5 O'clock Sports Bar Inc.,credit_card,491xx,MI
108,80000,240,1500,4,1,1,544000,0,0,20,10.89,0,2595.83,21.54,29.88,0,-502,Owner,small_business,126xx,NY
109,300000,300,3400,2,2,1,1225000,1,0,20,5.95,0,-320.74,-0.24,20.35,0,287,PayPal,other,950xx,CA
110,160000,300,1900,4,3,1,415000,1,0,20,18.05,0,18915.17,57.39,32.65,1,297,Sales Manager,debt_consolidation,945xx,CA
111,110000,240,1900,2,5,1,325000,1,1,10,11.95,-0.01,10883.17,77.36,28.12,1,316,Nurse,debt_consolidation,331xx,FL
112,140000,240,2300,2,5,1,365000,1,0,10,15.11,0.01,6018.83,29.26,47.24,1,281,Director of Veteran Services,debt_consolidation,076xx,NJ
113,50000,240,800,2,2,0,1094000,1,1,10,10.05,0.01,6256.65,99.28,29.65,1,298,Senior Director Marketing Communications,credit_card,117xx,NY
114,200000,300,2100,2,5,0,250000,1,0,20,13.16,0,20710,32.48,32.88,1,-1,Programmer,credit_card,853xx,AZ
115,180000,240,3000,3,4,2,122000,1,0,0,9.84,0.01,11201,25.76,60.76,0,291,Chester Clinic,debt_consolidation,622xx,IL
116,200000,240,3200,2,10,0,588000,1,1,30,13,-0.01,35266.65,82.88,29.24,0,5,Branch Chief,debt_consolidation,220xx,VA
117,220000,240,3500,2,10,0,847000,1,1,20,18.05,0.01,28615.65,69.62,37,0,292,Manager,debt_consolidation,773xx,TX
118,30000,240,400,3,10,1,192000,1,0,20,10.89,0.01,5597.83,46.72,12.88,0,1,Accounts Payable,debt_consolidation,930xx,CA
119,300000,300,4400,6,10,1,556000,1,0,20,37.05,0,43421.17,35.74,59,1,-1,Consultant,debt_consolidation,100xx,NY
120,60000,240,1000,3,9,0,400000,0,0,20,13.89,0.01,20968.65,80.14,21,1,0,Materials Manager,debt_consolidation,480xx,MI
121,350000,300,4300,3,2,0,406000,1,0,20,6.16,0.01,37608.65,79.3,17.24,0,-534,International Parking Institute,debt_consolidation,224xx,VA
122,50000,240,700,1,4,0,200000,1,1,10,7.11,0.01,14432,80.39,13.12,0,-9,Liberty Northwest,debt_consolidation,986xx,WA
123,150000,240,2400,1,7,1,557000,1,1,10,32,0,12721.65,63.1,54,0,362,Senior Planner,debt_consolidation,917xx,CA
124,60000,240,1000,2,10,0,293000,0,1,0,4,1.01,5198.17,72.2,13.88,0,331,LAWRENCE MEMORIAL HOSPITAL,credit_card,666xx,KS
125,180000,300,2100,3,10,0,310000,1,1,20,6.05,0,20679.17,83.6,15.76,1,412,"Sound Publishing, Inc.",debt_consolidation,982xx,WA
126,20000,240,400,5,8,1,385000,1,0,10,25.89,0.01,4557,98.86,49.65,0,369,Teacher,vacation,115xx,NY
127,250000,240,4200,3,10,0,622000,0,0,0,5.84,-0.01,10341.65,84.22,14.76,1,305,sales manager,debt_consolidation,891xx,NV
128,80000,240,1400,3,1,1,162000,1,0,30,11.11,0.01,8351.83,65.49,24.88,0,1,Protective Service Officer,credit_card,530xx,WI
129,210000,300,2300,2,10,0,444000,0,0,30,16.89,-0.01,33001,52.98,35,1,339,Attorney,debt_consolidation,992xx,WA
130,270000,240,4600,3,10,0,948000,1,1,30,31.95,-0.01,49717,70.02,80,1,458,SVP & CFO,debt_consolidation,173xx,PA
131,280000,240,4300,1,3,0,456000,0,1,10,15.05,-0.01,5503.17,9.69,23.24,1,304,Marketing Manager,home_improvement,782xx,TX
132,200000,240,3500,4,10,0,227000,1,0,30,13.84,0.01,31617.35,75.32,29.88,0,363,Team Lead,debt_consolidation,455xx,OH
133,110000,240,1800,2,3,0,222000,1,1,30,10.95,0,6587.48,91.98,40.35,1,4,Home Supervisor,debt_consolidation,786xx,TX
134,70000,240,1200,3,4,1,133000,1,0,30,10.11,0.01,8746.83,36.59,16,0,5,maint. worker,home_improvement,917xx,CA
135,30000,240,500,3,3,0,452000,1,1,30,18.89,-0.01,29486.35,70.62,34,1,401,Manager,medical,761xx,TX
136,100000,240,1500,1,1,0,6000000,0,1,0,11,0,8156.65,12.9,19.76,0,553,WCP,other,109xx,NY
137,130000,240,2200,3,10,0,492000,1,0,30,17.11,0,38513.17,72.49,21,0,301,Senior registered client associate,debt_consolidation,950xx,CA
138,250000,300,3200,5,10,0,298000,1,0,10,6.95,0.01,16811.52,92.3,17.88,0,5,Bookmobile Manager,debt_consolidation,424xx,KY
139,220000,300,3100,6,10,0,303000,1,0,30,13.05,-0.01,13363.17,46.7,32.35,0,-1,US Army,debt_consolidation,225xx,VA
140,130000,240,2100,2,10,1,184000,1,1,20,7.95,0,11372.83,61.82,30.35,0,283,Mill Foreman,debt_consolidation,658xx,MO
141,200000,300,2700,5,10,1,210000,1,0,20,9,-0.01,10620.48,64.88,13.24,1,269,nurse aide,credit_card,430xx,OH
142,350000,300,5000,6,8,2,603000,1,0,20,12.89,0.01,21345.17,90.52,26,0,0,registered nurse,debt_consolidation,080xx,NJ
143,40000,240,800,6,2,1,166000,1,0,30,6,-0.01,47.52,17.46,10.88,1,9,Technician,debt_consolidation,137xx,NY
144,200000,300,2300,3,1,0,697000,1,0,10,16.05,0.01,14765.65,47.52,36,1,7,Sales Manager,debt_consolidation,743xx,OK
145,50000,240,800,2,10,2,138000,1,0,20,13.05,-0.01,8319.48,31.94,19,1,-3,PRODUCTION MANAGER,other,288xx,NC
146,60000,240,900,2,3,1,405000,1,0,20,10.89,1,2413.83,8.22,13.88,1,2,Helpdesk Manager,debt_consolidation,107xx,NY
147,180000,240,3000,2,8,0,321000,1,1,30,11.95,0,16495.65,58.99,29.12,0,321,VJ,debt_consolidation,322xx,FL
148,100000,240,1600,1,4,0,322000,1,1,10,7.95,0,7581.65,48.52,19.12,1,11,plumber,credit_card,460xx,IN
149,210000,300,2500,4,3,0,219000,1,0,20,9,0,10760.35,67.24,13.76,1,0,manual machinist ,debt_consolidation,794xx,TX
150,200000,240,3300,3,10,0,336000,1,0,20,11.11,0,23804.65,82.19,32.88,0,-2,Administrative assistant,debt_consolidation,117xx,NY
151,120000,240,1900,2,4,2,184000,1,1,30,7.05,1.01,4744.83,90.12,21.76,1,334,custom,debt_consolidation,535xx,WI
152,160000,300,2000,3,7,0,179000,1,0,20,7.84,0,12591.35,54.19,15.88,0,347,Fiberweb,credit_card,370xx,TN
153,100000,240,1700,2,10,1,316000,1,0,20,6.95,0.01,2085.52,39.24,16.12,0,-9,supervisor,debt_consolidation,465xx,IN
154,110000,240,1700,1,9,0,247000,0,1,30,9.05,0,19149.65,77.24,22.88,0,449,Maintenance Technician (Heavy),credit_card,820xx,WY
155,90000,240,1500,3,10,0,270000,0,0,10,10.95,2,7175.48,53.34,30.88,1,296,Social worker,credit_card,494xx,MI
156,80000,240,1400,4,1,2,203000,0,0,20,23.11,0.01,7367.35,84.04,31.35,0,-4,"Wilson, Bave, Conboy, Cozza & Couzens PC",debt_consolidation,105xx,NY
157,100000,240,1600,2,10,0,387000,0,1,30,9,0,4157.17,79.5,30.12,0,5,Fifefighter/EMT,credit_card,339xx,FL
158,100000,240,1700,3,10,2,310000,0,1,20,6.89,-0.01,5600.17,82.62,17.88,0,413,Methodist Health System - Mansfield,debt_consolidation,751xx,TX
159,60000,300,700,4,10,1,294000,0,0,30,5.89,0.01,22418.35,89.96,7.12,0,281,Dow Jones & Co,debt_consolidation,070xx,NJ
160,60000,240,1000,3,1,1,290000,1,0,10,10.05,1,3310.52,36.12,21.65,0,5,teacher,debt_consolidation,933xx,CA
161,100000,240,1500,1,7,1,450000,0,1,10,6.16,0,1682.83,3.58,16.88,1,288,Southfork Restaurant,debt_consolidation,604xx,IL
162,200000,240,3200,1,8,1,706000,1,1,10,4,0.99,4910.35,61.16,7.76,1,1,Vice President,credit_card,945xx,CA
163,120000,240,2000,2,3,1,514000,1,0,10,14,0,5199,13.21,29.24,0,386,Bristol-Myers Squibb,educational,065xx,CT
164,150000,240,2300,1,1,0,950000,1,1,0,7.11,0.01,21533.52,30.8,17,0,316,General Counsel,home_improvement,787xx,TX
165,100000,240,1700,3,2,2,356000,0,0,30,11.16,0,16947.52,65.16,16.88,1,-1,Store Manager,credit_card,028xx,RI
166,120000,240,2200,4,8,1,195000,1,0,10,3.95,0.01,6046.35,90.14,4,0,-5,Panasonic Appliances Refrigeration,credit_card,921xx,CA
167,200000,300,2800,6,3,2,225000,1,0,20,5.16,0.01,8888.65,50.16,4.76,1,-8,Apprentice plumber,home_improvement,601xx,IL
168,150000,240,2500,2,10,0,343000,1,1,20,10.89,0.01,14700,91.9,23.35,1,285,Ball State University,credit_card,473xx,IN
169,200000,240,3100,1,1,1,406000,1,1,0,7.95,0,1568,5.08,19.24,1,2,"Manager, IT Finance",other,606xx,IL
170,200000,240,3500,4,10,0,200000,1,0,10,6.16,0.01,1197.83,8.66,16,0,274,Office Manager,debt_consolidation,131xx,NY
171,140000,240,2400,2,2,1,272000,1,1,30,9.95,-0.01,23808.17,80.06,14.65,1,3,Jewish Student Life Associate,credit_card,331xx,FL
172,60000,240,900,1,10,0,360000,0,1,0,12,0.01,7500.17,19.32,31.65,0,457,Rector,credit_card,774xx,TX
173,50000,240,800,2,10,1,350000,1,1,20,9.05,-0.01,8060.48,82.16,14.24,1,287,Programmer,debt_consolidation,956xx,CA
174,200000,240,3400,3,10,0,281000,1,0,20,6.05,1,3642.52,60.78,18.35,1,282,Teacher,home_improvement,750xx,TX
175,150000,240,2600,3,4,1,435000,0,0,20,8,0.01,4791,57.22,13.12,0,-8,Lead linemen,debt_consolidation,735xx,OK
176,200000,240,3200,2,6,1,235000,1,1,20,8.05,2,8575.65,65.18,35.24,0,391,Sales Manager,debt_consolidation,851xx,AZ
177,100000,300,1100,2,5,0,217000,1,1,20,12.05,0,6037.17,63.34,26.35,1,307,print production support 3,debt_consolidation,010xx,MA
178,200000,240,3100,1,5,0,475000,1,1,10,12,-0.01,7005.83,9.14,23,1,-5,Lead Business Consultant,other,303xx,GA
179,250000,300,3000,3,2,0,750000,1,1,10,12.16,0.01,39350.17,46.08,30,0,434,Program Manager,debt_consolidation,280xx,NC
180,200000,300,2400,4,10,0,366000,0,0,30,8.95,0,8666.17,38.58,21.35,1,2,Crane Operator/Mate,debt_consolidation,707xx,LA
181,220000,240,3700,2,2,0,256000,1,1,20,10.95,0.01,14301.83,77.56,35.88,1,550,Quikrete,debt_consolidation,870xx,NM
182,30000,240,500,1,1,1,195000,0,1,20,13,-0.01,4120.65,10.94,13.12,1,-4,Analyst,credit_card,921xx,CA
183,120000,240,1900,1,10,0,458000,0,1,20,7,1,42581.65,79.11,19.76,0,316,PROCESS ENGINEER,debt_consolidation,156xx,PA
184,250000,300,3000,4,10,1,274000,1,0,20,7.05,-0.01,20904.48,94.2,11.88,1,278,Sales manager,credit_card,605xx,IL
185,100000,240,1700,3,1,1,137000,0,1,30,8.16,-0.01,8989.83,60,13.88,1,382,Chef,debt_consolidation,775xx,TX
186,120000,240,1900,2,1,0,231000,0,1,30,11,0.99,10223.65,57.52,24,0,6,Loan Originator,debt_consolidation,850xx,AZ
187,160000,240,2800,3,7,1,402000,0,0,10,12.05,0,7226.65,36.36,34,0,323,Keane inc,debt_consolidation,617xx,IL
188,140000,240,2400,3,9,1,242000,1,0,30,12.05,1,13527.65,65.96,21.24,1,-3,Housekeeping,credit_card,104xx,NY
189,160000,240,2700,3,2,1,199000,0,0,30,12.11,0.01,11071.48,46.29,24.76,0,-4,IT Help Desk,credit_card,333xx,FL
190,120000,300,1500,4,10,1,460000,1,0,20,14.89,-0.01,18585.65,70.04,26.12,1,355,unit clerk,other,079xx,NJ
191,70000,240,1200,3,6,1,165000,0,0,30,14.89,0,11275.17,71.8,28.88,1,0,sales,debt_consolidation,577xx,SD
192,260000,300,3400,4,10,1,453000,1,0,10,9.89,0.01,11069,48.5,30,0,300,CCAD,debt_consolidation,784xx,TX
193,150000,240,2500,3,1,0,639000,1,0,20,7.89,0.01,54017.35,87.56,29.12,0,315,TATA Consultancy,credit_card,850xx,AZ
194,70000,240,1300,4,5,1,166000,0,0,30,6.05,0.01,2871.83,27.08,11.35,0,4,Accounts payable/utilities,debt_consolidation,076xx,NJ
195,200000,240,3200,2,6,2,314000,1,1,20,11.89,0.01,16915.48,62.88,19.88,0,-5,Senior Pastor,debt_consolidation,750xx,TX
196,150000,240,2400,2,1,1,250000,1,0,20,14.05,-0.01,1444.35,7.2,44.35,0,-3,Accounting Analyst,debt_consolidation,750xx,TX
