id,loan_amnt,term,installment,grade,emp_length,home_ownership,annual_inc,verification_status,dti,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,active_credit,emp_title,purpose,zip_code,addr_state,loan_status
6384,170000,300,2200,5,7,1,378000,1,30,18,0,6814.17,31.98,33,1,4,ASST PARTS MANAGER,debt_consolidation,018xx,MA,0
4614,50000,240,900,2,10,1,253000,0,10,13.95,1,14897.83,52.8,22,0,3,lausd,debt_consolidation,907xx,CA,0
1103,240000,300,2800,3,10,2,545000,1,20,19.95,-0.01,842,2.2,23.76,0,-1,Banquet Houseman,home_improvement,103xx,NY,0
6773,90000,240,1500,3,5,1,188000,1,20,7.11,1.01,5652.83,39.1,10.24,1,8,Armed Security Officer,debt_consolidation,770xx,TX,0
2785,100000,240,1600,3,10,0,229000,1,10,6.11,0.01,6861.83,43.98,10.76,0,279,Supervisor,home_improvement,902xx,CA,0
1792,20000,300,200,6,4,0,247000,1,10,8.95,0,13837.65,45.19,14.35,0,306,City of Boynton Beach,other,334xx,FL,0
4421,60000,240,1000,1,10,0,218000,0,10,6.05,-0.01,17688.65,73.04,24,0,374,Jeld-wen,credit_card,976xx,OR,1
2963,170000,240,2600,1,10,0,631000,0,10,9.16,0.01,5840.52,65.62,22.24,0,290,Ohio Education Association,debt_consolidation,439xx,OH,1
5204,250000,240,4200,3,10,1,503000,0,10,7.11,0.01,7851,69.38,33.24,1,350,Bottler,debt_consolidation,913xx,CA,0
2237,80000,240,1300,3,10,2,278000,0,20,9.05,-0.01,12190.83,46.91,14,0,338,Accounts payable and receivable manager,debt_consolidation,751xx,TX,0
1936,140000,300,1800,5,1,2,177000,1,30,8.16,-0.01,7663,77.16,8.88,1,0,Medical Laboratory Technician,credit_card,051xx,VT,0
6475,100000,240,1500,1,10,2,144000,0,10,10,-0.01,8814.83,47.18,20.76,1,404,Legal Secretary,debt_consolidation,954xx,CA,1
8851,300000,300,3800,5,7,0,500000,1,20,11.95,-0.01,31776.17,79.52,40.35,0,269,Consilium1,credit_card,301xx,GA,0
6065,280000,240,4500,2,4,0,716000,1,20,13.84,0,15828.35,25.11,38.24,0,491,Cook County State's Attorney's Office,debt_consolidation,606xx,IL,0
6989,270000,300,3200,4,7,1,447000,1,30,13,0,32390.35,70.79,36,0,1,Officer,credit_card,142xx,NY,0
8011,60000,240,1100,4,4,1,141000,1,20,7.89,0.01,2308.17,44.91,14.65,1,3,Manager,house,328xx,FL,0
1347,280000,300,3200,3,10,0,1005000,1,10,17.89,0,25470.83,29.8,28.65,0,482,U.S.Consumer Product Safety Commission,credit_card,208xx,MD,1
3805,280000,300,3400,4,10,0,744000,1,20,14,0.01,46414.35,91.08,38.35,1,329,President,credit_card,189xx,PA,0
7699,160000,240,2600,2,8,0,265000,1,30,15.05,-0.01,23282.65,49.49,34.65,1,462,Houston processing center,debt_consolidation,773xx,TX,0
1980,350000,240,5900,3,2,0,567000,1,30,12.89,0,58475,83.68,38.12,1,310,Deputy City Manager,credit_card,197xx,DE,0
5852,350000,300,5000,6,6,0,594000,1,20,16.05,0.01,28319.52,74.72,30,0,314,Premier Prizm Solutions,credit_card,080xx,NJ,0
109,300000,300,3400,2,2,1,1225000,1,20,5.95,0,-320.74,-0.24,20.35,0,287,PayPal,other,950xx,CA,0
8397,120000,300,1400,3,1,1,228000,1,10,5.16,0.01,7780.35,62.44,35.76,0,0,Plaza Private Residences,debt_consolidation,070xx,NJ,0
3765,50000,240,800,2,10,0,312000,0,20,10.05,-0.01,15867.65,58.98,27,0,278,goodguys tire center,debt_consolidation,937xx,CA,1
4131,280000,300,3000,2,10,0,1653000,1,10,13.89,0.01,19718.83,54.5,29.35,1,388,General Sales Mgr,credit_card,891xx,NV,0
364,240000,300,2900,4,6,0,390000,0,10,9.84,-0.01,13395.83,60.68,12.24,1,-6,Echo Tech,other,105xx,NY,0
4915,80000,240,1300,1,10,1,207000,0,20,6.11,0.01,11763.65,71.04,16.65,0,322,all boro llc shore haven apt.,debt_consolidation,112xx,NY,1
3181,200000,240,3100,1,10,0,440000,0,30,8.95,0,4770.35,55.54,21.76,1,312,Research Director/Nursing Supervisor ,debt_consolidation,722xx,AR,1
5459,200000,240,3500,3,5,1,319000,1,20,9.05,-0.01,11043.83,69.64,26.12,0,-7,Truck driver,other,060xx,CT,0
530,130000,300,1600,4,2,0,247000,1,20,8.16,1,11793.83,59.51,12.76,1,0,sales,debt_consolidation,167xx,PA,0
5034,80000,300,1000,4,1,1,112000,1,20,2.05,-0.01,641.48,0.48,4,0,-2,Kaspar Wire Works,other,779xx,TX,0
7873,10000,240,200,3,5,2,507000,0,30,19.95,0.01,73243.48,83.1,35.88,1,409,Supply System Analyst,medical,221xx,VA,0
1438,130000,240,2200,2,10,1,267000,0,10,14.11,0,13358.35,65.06,27.12,0,341,Store Operations,credit_card,959xx,CA,1
884,160000,300,1800,3,10,2,250000,0,10,13.11,0.01,7934.52,31.11,14,1,4,Line Manager,debt_consolidation,028xx,RI,0
8315,50000,240,800,4,3,1,143000,0,30,9.11,0.01,7475,83.06,18.65,0,-3,"Pacific Coast Auto Detail Center,Inc",debt_consolidation,921xx,CA,0
149,210000,300,2500,4,3,0,219000,1,20,9,0,10760.35,67.24,13.76,1,0,manual machinist ,debt_consolidation,794xx,TX,0
7958,70000,240,1200,3,10,2,238000,1,10,3.89,1,5642.65,91.02,14.88,1,323,kimson restaurant,home_improvement,770xx,TX,0
6282,250000,240,4200,3,7,1,366000,0,20,10.89,-0.01,29407.65,37.62,21,1,284,Software Tech,credit_card,070xx,NJ,0
6143,320000,300,4500,6,10,1,355000,1,20,15.95,0.01,24992.65,74.46,27.35,0,337,Temple University,debt_consolidation,191xx,PA,0
5521,180000,300,2300,3,8,0,273000,1,20,11,0,20036.52,88.16,22,1,7,KIPP,debt_consolidation,704xx,LA,0
4536,200000,300,2400,3,10,1,436000,1,30,18.11,1.01,21985.65,60.42,28.12,1,0,Engineer,debt_consolidation,802xx,CO,0
2587,150000,300,1900,4,4,1,178000,0,20,6.05,0.01,19537.35,87.28,7.12,1,2,manager,credit_card,802xx,CO,0
4451,100000,240,1600,2,4,1,206000,1,20,14.16,-0.01,12957.65,39.78,32,0,346,Airport Operation Specialist,debt_consolidation,331xx,FL,0
4213,140000,300,1700,3,8,0,472000,1,10,10.05,-0.01,4901.83,37.32,18.24,0,1,Asst. Aux Opertor,home_improvement,829xx,WY,0
5963,140000,240,2100,1,3,1,259000,1,30,4.95,-0.01,45594.65,44.7,27.24,1,320,tsiusa,debt_consolidation,770xx,TX,1
6649,20000,240,400,3,10,1,350000,0,10,11,-0.01,23967.65,54.18,35.65,1,308,Client Relationsip Consultant,debt_consolidation,280xx,NC,0
26,160000,300,1900,3,10,0,526000,1,20,11.16,0.01,60231.35,82.06,30.88,1,371,Big Bolt Corp.,debt_consolidation,601xx,IL,1
711,60000,240,1000,2,9,2,306000,0,10,13.95,0,6711.65,23.69,29.35,0,-5,Driver,debt_consolidation,606xx,IL,0
3822,100000,240,1700,2,10,1,150000,0,10,5.05,0,12946.52,30.54,11.12,1,353,Ka'anapali Shores,credit_card,967xx,HI,0
1221,160000,240,2800,3,10,0,234000,1,30,10.89,1.01,24736.83,73.68,24.65,0,353,QUALITY CONTROL MANAGER,debt_consolidation,608xx,IL,0
688,160000,240,2500,1,10,0,228000,0,10,4.84,0,8571.35,49.64,14,0,-5,Leading Petty Officer,home_improvement,236xx,VA,1
2015,30000,240,500,3,10,1,197000,0,30,12.95,0.01,7113,57.8,27.12,0,279,Produce clerk,credit_card,775xx,TX,0
8330,20000,240,400,3,5,1,169000,1,10,12,0.01,1829.35,73.28,17,0,5,Olive Garden,credit_card,916xx,CA,0
7367,100000,240,1700,2,5,1,153000,1,20,6.05,-0.01,9524.52,86.9,12.24,1,-2,routesetter/coach,debt_consolidation,980xx,WA,1
3569,210000,300,2700,4,2,0,778000,1,10,18.05,1.01,17452.52,52.71,25.88,1,2,Scr,debt_consolidation,349xx,FL,0
3624,90000,240,1500,2,2,1,331000,1,10,7,0.01,9043.48,70,7.12,1,7,RN case manage,debt_consolidation,209xx,MD,1
3888,200000,300,2300,3,10,1,239000,1,30,11.11,1,16788,68.62,20.76,1,269,Loan Underwriter,debt_consolidation,802xx,CO,0
8963,60000,240,1000,3,2,1,103000,1,20,10.89,0.01,1098.65,52.08,25.24,0,0,Visa Specialist,debt_consolidation,200xx,DC,0
2039,50000,240,900,2,6,0,139000,0,10,10,0.01,3928.17,41.56,10.88,0,8,fedex ground,debt_consolidation,959xx,CA,0
6253,50000,240,800,3,5,0,231000,1,30,10.05,-0.01,3227.48,15.02,13,1,11,office clerk,major_purchase,933xx,CA,0
4316,120000,240,1800,1,10,0,294000,0,10,16.11,-0.01,25905.65,34.38,41.24,0,439,nurse,home_improvement,496xx,MI,1
6898,60000,240,1000,4,2,1,468000,1,10,7.84,2.98,1972,19.74,43,0,282,owner,home_improvement,087xx,NJ,0
2712,350000,300,3800,2,5,1,956000,1,10,14.16,-0.01,5934.17,21.6,73.12,1,289,Attorney,credit_card,100xx,NY,0
1079,110000,300,1300,3,4,0,322000,0,20,14.84,0,14969.83,44,52.12,1,288,Youth Success Caseworker,debt_consolidation,028xx,RI,0
2675,90000,240,1700,3,2,1,176000,1,30,5.11,3.01,9486.52,61.86,9.88,0,284,DCURD,debt_consolidation,750xx,TX,0
6919,100000,240,1800,4,10,1,415000,1,20,17.84,-0.01,23569.83,60.74,43.24,1,302,Business Analyst,medical,060xx,CT,0
8861,200000,300,2700,5,1,0,253000,1,20,2.89,0,23120,84.34,13.12,0,310,BF Goodrich Mfg,home_improvement,354xx,AL,0
6545,150000,240,2400,2,1,0,133000,0,10,21.89,0.01,2836.17,2.9,48.65,0,330,Iroquois Nursing Home,home_improvement,132xx,NY,0
44,210000,240,3600,3,5,0,322000,1,20,15.11,-0.01,19590,78.22,27,0,300,Regional Manager,debt_consolidation,573xx,SD,0
3597,240000,240,3700,1,9,0,419000,0,10,12.95,-0.01,14942.48,30.26,29.76,1,360,Wasatch Shutter Design,home_improvement,847xx,UT,1
2674,100000,240,1900,4,9,1,204000,1,40,18.05,0.01,10144.83,78.31,26,0,3,medical tech,debt_consolidation,081xx,NJ,0
3609,60000,240,900,3,10,0,204000,1,20,6.95,0.01,3893.17,39.52,9.88,1,1,manager,debt_consolidation,917xx,CA,0
7763,120000,240,2000,2,10,0,378000,1,10,7.05,-0.01,31426,97.54,34,0,366,Mclaren greater Lansing,debt_consolidation,488xx,MI,1
1672,130000,240,2000,1,8,0,312000,0,10,10.05,0.01,10527.35,50.94,18,0,-1,plant manager,credit_card,970xx,OR,1
8850,90000,240,1400,1,1,1,207000,0,30,4.89,-0.01,6012,78.62,24,1,280,investment specialist,credit_card,852xx,AZ,1
4347,240000,300,3400,6,8,0,329000,1,30,14.16,0,50074,92.36,20.12,0,-1,Paralegal,debt_consolidation,802xx,CO,0
4869,200000,240,3600,4,8,1,679000,1,20,15.95,0,27530.65,74.42,32,1,3,Director Validation Services,debt_consolidation,146xx,NY,0
9002,80000,240,1500,4,10,0,103000,1,30,7.84,0,8150.83,52.9,15.24,1,525,customer servive,debt_consolidation,531xx,WI,0
1059,70000,240,1100,2,10,1,101000,1,30,6.89,0,14088.65,86.14,8.76,1,-524,0wner,credit_card,787xx,TX,1
5405,350000,240,6400,4,10,2,819000,1,10,14.05,0.01,88407.17,90.48,27.76,0,407,police sgt.,credit_card,223xx,VA,0
2320,250000,240,4500,5,2,1,235000,0,30,13.11,0.01,15196.17,62.16,14,0,-1,DRIVER,car,114xx,NY,0
1779,110000,300,1500,5,5,1,135000,1,20,15.16,0.01,10012.35,35.69,27,1,7,Veterinary Technician,debt_consolidation,921xx,CA,0
5718,250000,300,3400,5,5,1,303000,1,30,19.11,0,12642.35,55.62,44.24,1,0,E 5,debt_consolidation,086xx,NJ,0
1811,100000,300,1300,5,1,1,145000,1,10,18.89,0,10314.35,52.58,30.76,1,310,CUNY Office Assistant,debt_consolidation,112xx,NY,0
5012,120000,300,1600,5,10,0,334000,1,10,5.16,0.01,2038.35,44.32,25.76,1,516,RN,debt_consolidation,321xx,FL,0
1041,200000,240,3200,2,8,0,378000,1,20,14.16,-0.01,5977.17,45.42,35.88,1,314,RN,credit_card,193xx,PA,0
7578,90000,240,1500,3,1,1,125000,0,20,4.95,1,5727.17,94.06,12,1,10,cashier,debt_consolidation,028xx,RI,0
7806,130000,240,2200,4,5,1,275000,0,0,6.89,-0.01,3018.35,34.98,14.88,0,-6,MANAGER,house,782xx,TX,0
5781,30000,240,400,3,10,0,159000,0,40,8.05,0.01,4133.83,66.16,20.76,0,272,Preschool Teacher,debt_consolidation,937xx,CA,0
3438,150000,300,1800,3,10,0,297000,1,20,8.95,0.01,3955.65,58.56,13.76,1,279,Buyer,debt_consolidation,245xx,VA,0
5606,70000,240,1300,3,1,1,110000,0,20,7.89,0.01,9338.48,64.4,17.24,1,6,Catering Services/Banquets,debt_consolidation,462xx,IN,0
8149,50000,240,900,4,5,1,110000,0,40,8,0,6890.83,56.86,47.88,0,5,Patient care assistant ,major_purchase,757xx,TX,0
2704,130000,240,2200,2,7,1,230000,0,20,5.89,-0.01,18402.17,69.14,17.88,0,291,BMI,debt_consolidation,100xx,NY,1
4815,100000,240,1800,3,3,2,190000,0,10,10.05,0.01,10289.35,83.1,20.88,0,283,Palmetto Pine Country club,other,339xx,FL,0
1898,100000,240,1900,4,7,1,453000,1,10,12,2.01,11798.52,62.62,26.88,0,290,Customer support manager,credit_card,112xx,NY,0
1919,100000,300,1300,4,4,0,185000,1,30,17,0,11796.48,42.38,24.35,1,291,Financial Representative,debt_consolidation,335xx,FL,0
5131,100000,240,1600,2,4,2,169000,0,30,12.05,0.01,23721.65,43.82,30.24,1,349,Accounting Clerk,credit_card,388xx,MS,0
6840,260000,240,4800,4,3,0,312000,1,20,7,0,19800.65,89.21,13,0,359,State Surplus Manager,debt_consolidation,731xx,OK,0
8875,240000,240,3800,1,1,0,800000,0,10,12.16,3,14227.17,46.66,26.88,1,364,IT Director,debt_consolidation,754xx,TX,1
2750,80000,240,1300,2,5,0,369000,1,10,14.16,0.01,8844.17,55.14,23.88,1,1,Equipment operator ,debt_consolidation,557xx,MN,0
4396,190000,300,2400,5,7,0,300000,1,20,6.05,0,7074.35,100,32.76,0,0,Legal Assistant,debt_consolidation,190xx,PA,0
4072,120000,300,1500,4,5,0,356000,1,30,15,0.01,13290,62.16,50.12,1,5,semi driver,credit_card,612xx,IL,0
8426,90000,240,1500,2,8,1,297000,0,20,13.16,0.01,9182.35,44.41,22.88,0,0,United States Coast Guard,credit_card,222xx,VA,0
1816,110000,240,2000,4,2,1,179000,1,20,21.11,0,6278,55.6,38.24,0,3,Agent Services,debt_consolidation,450xx,OH,0
1040,150000,240,2700,4,10,0,271000,1,30,13.11,0.01,16879.83,36.04,22.24,1,359,Teacher/Coach,debt_consolidation,754xx,TX,0
2200,200000,240,3000,1,2,0,573000,1,20,17.95,-0.01,27534.35,44.52,32.76,1,2,Database Administrator,debt_consolidation,371xx,TN,1
3667,100000,240,1600,2,4,0,190000,1,10,6.11,-0.01,19572.17,78.6,9.88,0,404,FDH Processing LLC,debt_consolidation,334xx,FL,1
4041,120000,300,1300,2,2,0,510000,0,20,11.11,0,18353.83,50.94,20,1,3,PROJECT MANAGER,debt_consolidation,109xx,NY,0
3595,100000,240,1800,4,10,1,105000,0,40,5.95,0.01,8239.83,49.01,24.76,1,338,delivery driver,debt_consolidation,805xx,CO,0
6814,90000,240,1800,5,3,1,200000,1,20,5.05,-0.01,1526,68.92,7.88,0,-6,Administrative Assistant,other,208xx,MD,0
4645,100000,240,1800,3,4,1,265000,1,30,15.16,0.01,5637.52,90.18,28.88,0,-5,city of akexandria dchs,debt_consolidation,223xx,VA,0
3228,110000,240,1900,2,2,0,156000,0,20,13.16,0.01,11970.83,51.76,24.88,0,317,medical assistant,credit_card,606xx,IL,0
1393,50000,240,800,2,3,0,435000,0,20,4.84,0.01,5755,96.38,21.35,1,278,outside sales,other,993xx,WA,1
5684,120000,240,2000,2,3,0,231000,0,20,18.05,-0.01,27777.83,67.36,32.12,0,583,Illinois Balanced and Restorative Justic,debt_consolidation,618xx,IL,1
3681,200000,300,2300,3,1,0,247000,1,20,27.05,0,15141.35,39.98,45.88,1,-8,Retention Specialist,debt_consolidation,490xx,MI,0
8520,100000,240,1700,2,2,0,253000,1,30,8.89,-0.01,10124.83,74.98,13.88,1,306,RN,debt_consolidation,765xx,TX,1
1323,200000,300,2300,3,10,0,380000,1,20,5.05,0.01,16094.35,99.14,18.12,1,265,project engineer,credit_card,300xx,GA,0
3221,30000,240,500,1,1,1,104000,0,10,2.95,-0.01,2876.65,70,7.88,1,330,Front End Clerk,car,787xx,TX,1
6979,100000,240,1800,4,9,1,257000,0,10,7,0.01,9926.52,94.4,16.76,0,324,roomstogo,credit_card,330xx,FL,0
7030,80000,240,1300,2,5,0,628000,0,10,17.05,0.99,25769.52,57.7,21.76,1,409,Relationship Manager,home_improvement,900xx,CA,1
4469,150000,240,2400,2,6,0,247000,0,20,9.05,-0.01,6679.65,25.82,23.12,1,-5,field service tech II,debt_consolidation,630xx,MO,0
5114,110000,240,1800,2,5,1,490000,0,0,18.05,0.01,9061.65,33.44,34.88,1,288,Associate Research Officer,credit_card,559xx,MN,0
5423,80000,240,1300,2,4,0,552000,1,20,24,0.01,5962.17,45.92,46.65,1,276,Registered Nurse,major_purchase,939xx,CA,0
2543,350000,240,5600,2,5,0,578000,1,20,15.89,0,33208.35,79.48,33.88,0,338,Safety Manager,credit_card,070xx,NJ,1
4744,350000,300,4400,4,10,0,535000,1,20,15.89,-0.01,44512.83,78.08,36.88,1,307,Sales Manager,debt_consolidation,187xx,PA,0
4098,60000,240,900,1,7,0,325000,0,0,12.11,0.01,267.17,2.91,17.76,0,8,Manager,major_purchase,926xx,CA,1
5147,120000,240,1900,2,4,0,178000,0,10,4,0.01,50571.17,65.06,18.24,0,300,Eastern Hospitality Mgmt Inc,small_business,251xx,WV,1
189,160000,240,2700,3,2,1,199000,0,30,12.11,0.01,11071.48,46.29,24.76,0,-4,IT Help Desk,credit_card,333xx,FL,0
4604,120000,300,1400,3,10,0,206000,1,10,9.11,0.98,8375.48,44.68,24.12,1,280,program Technician II,major_purchase,956xx,CA,0
2829,60000,240,1000,2,9,1,353000,1,10,10.89,0.01,5424.35,44.46,27.76,1,2,Account Manager,credit_card,914xx,CA,0
253,40000,240,700,3,1,0,342000,1,40,20.05,0,9403.83,49.49,49,0,336,Teacher,medical,310xx,GA,0
1119,40000,240,600,1,6,0,294000,1,20,5.95,0,7704.17,65.61,25.76,0,434,Portland Public Schools,major_purchase,971xx,OR,1
8846,200000,300,2600,4,4,0,296000,1,20,13.05,0.01,11634.83,48.91,18.88,0,4,Georgia Pacific,debt_consolidation,973xx,OR,0
2970,120000,240,1900,2,10,0,400000,0,40,13.11,0.01,60869.65,66.84,15.76,1,432,Professor,debt_consolidation,488xx,MI,1
7096,110000,240,2000,4,1,1,178000,1,10,8.16,0,5456.17,41.16,12.24,1,9,HHA,credit_card,113xx,NY,0
411,60000,240,1000,3,1,1,147000,1,30,11.05,0.01,8827.48,75.81,22,1,1,Concierge,major_purchase,100xx,NY,0
5017,270000,240,4500,2,5,0,517000,0,20,13.95,0,27388.17,54.21,23.88,1,285,Total Wine and More,debt_consolidation,334xx,FL,0
4026,250000,300,2500,1,5,0,644000,1,10,12.89,0,35708.52,66.22,35.88,1,6,Sales Account Manager,credit_card,972xx,OR,1
5205,50000,240,900,5,10,0,306000,1,30,6.84,3,3468.83,63.08,21,0,350,driver,other,448xx,OH,0
5149,180000,240,3000,3,5,0,1622000,1,20,13.05,-0.01,44631.17,77.94,33.24,0,330,Co-President,debt_consolidation,142xx,NY,0
2709,220000,240,3500,1,8,0,700000,1,10,7.89,0,73250.65,61.42,19.12,0,308,"Wiggin & Nourie, PA",credit_card,038xx,NH,1
3923,240000,300,3000,5,1,2,268000,1,30,9.05,0.01,24744.65,84.46,30.88,0,-5,Accounting,debt_consolidation,490xx,MI,0
5469,300000,240,5200,3,10,2,496000,1,20,24.84,0.01,32188,77.2,33.76,0,298,RN,debt_consolidation,960xx,CA,0
4660,130000,240,2100,1,1,0,628000,0,0,9.84,1.01,8082.17,26.21,36.76,1,318,Senior Consultant,debt_consolidation,662xx,KS,1
6270,100000,240,1800,2,1,0,395000,0,0,2.89,0,471.83,0.22,6.24,0,328,Whittier Union High School District,home_improvement,906xx,CA,0
9078,100000,240,1800,4,1,0,225000,0,20,10.84,0,6877.65,77.04,13,0,3,STEVENS TRANSPORT,credit_card,282xx,NC,0
1742,120000,240,2100,3,10,1,408000,1,20,15.05,0,17940,50.8,22.12,1,277,Teacher,credit_card,112xx,NY,0
1586,100000,240,1600,2,10,1,474000,1,10,5,0,10296.17,74,12.24,1,359,Auto worker ,credit_card,483xx,MI,1
4068,120000,240,1900,1,4,0,375000,1,20,14.89,0.01,5897.83,8.62,26.24,1,7,Xray Tech/CT Tech,debt_consolidation,761xx,TX,1
4594,180000,300,2100,3,8,0,443000,1,30,18.95,0,44655.48,66.48,30.24,1,7,Business Analyst 2,credit_card,431xx,OH,0
